As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
18/Jul/2019,USD,5.27,6 396 378.00,33 707 865.44,108.31,108.35
17/Jul/2019,USD,5.27,6 396 378.00,33 713 837.62,108.33,108.37
16/Jul/2019,USD,5.30,6 396 378.00,33 876 572.18,108.85,108.89
15/Jul/2019,USD,5.31,6 396 378.00,33 974 476.15,109.16,109.20
12/Jul/2019,USD,5.31,6 396 378.00,33 946 010.79,109.07,109.11
11/Jul/2019,USD,5.29,6 396 378.00,33 829 364.07,108.70,108.74
10/Jul/2019,USD,5.28,6 396 378.00,33 767 531.83,108.50,108.54
09/Jul/2019,USD,5.26,6 193 735.00,32 585 560.13,108.13,108.17
08/Jul/2019,USD,5.26,6 193 735.00,32 592 789.86,108.15,108.20
05/Jul/2019,USD,5.29,6 193 735.00,32 760 831.36,108.71,108.75
04/Jul/2019,USD,5.31,6 193 735.00,32 895 490.16,109.15,109.20
03/Jul/2019,USD,5.31,6 193 735.00,32 866 434.66,109.06,109.11
02/Jul/2019,USD,5.27,6 193 735.00,32 641 589.13,108.31,108.37
01/Jul/2019,USD,5.26,6 193 735.00,32 552 037.47,108.01,108.06
28/Jun/2019,USD,5.22,6 193 735.00,32 328 289.87,107.27,107.32
27/Jun/2019,USD,5.19,6 244 396.00,32 406 901.10,106.66,106.71
26/Jun/2019,USD,5.17,6 244 396.00,32 267 552.40,106.20,106.25
25/Jun/2019,USD,5.18,6 244 396.00,32 332 307.37,106.41,106.47
24/Jun/2019,USD,5.21,6 244 396.00,32 563 530.80,107.18,107.23
21/Jun/2019,USD,5.22,6 244 396.00,32 572 214.66,107.20,107.26
20/Jun/2019,USD,5.23,6 244 396.00,32 651 400.36,107.47,107.52
19/Jun/2019,USD,5.18,5 344 924.00,27 673 973.25,106.41,106.47
18/Jun/2019,USD,5.15,5 344 924.00,27 529 315.56,105.85,105.91
17/Jun/2019,USD,5.10,5 344 924.00,27 272 467.26,104.87,104.92
14/Jun/2019,USD,5.10,5 344 924.00,27 275 531.92,104.88,104.93
13/Jun/2019,USD,5.12,5 344 924.00,27 354 184.41,105.18,105.24
12/Jun/2019,USD,5.17,5 344 924.00,27 621 857.20,105.03,105.09
11/Jun/2019,USD,5.18,5 665 533.00,29 362 620.66,105.33,105.38
10/Jun/2019,USD,5.17,5 665 533.00,29 297 662.68,105.09,105.15
07/Jun/2019,USD,5.15,5 785 763.00,29 782 031.59,104.61,104.66
06/Jun/2019,USD,5.09,5 785 763.00,29 456 125.33,103.47,103.52
05/Jun/2019,USD,5.07,5 785 763.00,29 334 067.92,103.04,103.09
04/Jun/2019,USD,5.03,5 785 763.00,29 078 065.11,102.14,102.18
03/Jun/2019,USD,4.94,5 785 763.00,28 605 682.84,100.48,100.52
31/May/2019,USD,4.95,5 785 763.00,28 642 995.63,100.61,100.66
30/May/2019,USD,5.00,5 785 763.00,28 930 870.87,101.62,101.67
29/May/2019,USD,4.99,5 785 763.00,28 894 930.59,101.50,101.55
28/May/2019,USD,5.04,5 785 763.00,29 163 480.81,102.44,102.48
24/May/2019,USD,5.07,5 785 763.00,29 306 292.83,102.94,102.98
23/May/2019,USD,5.05,5 785 763.00,29 203 360.09,102.58,102.62
22/May/2019,USD,5.11,5 785 763.00,29 542 355.84,103.77,103.81
21/May/2019,USD,5.12,5 785 763.00,29 623 459.35,104.06,104.10
20/May/2019,USD,5.09,2 815 820.00,14 322 296.99,103.37,103.41
17/May/2019,USD,5.12,2 815 820.00,14 404 452.41,103.96,104.01
16/May/2019,USD,5.14,2 815 820.00,14 472 530.83,104.45,104.51
15/May/2019,USD,5.10,2 815 820.00,14 358 253.00,103.63,103.69
14/May/2019,USD,5.07,2 815 820.00,14 275 838.13,103.04,103.10
13/May/2019,USD,5.04,2 815 820.00,14 188 628.56,102.41,102.46
10/May/2019,USD,5.14,2 815 820.00,14 465 436.41,104.40,104.48
09/May/2019,USD,5.12,2 815 820.00,14 419 211.83,104.07,104.15
08/May/2019,USD,5.15,1 966 105.00,10 126 482.07,104.67,104.76
07/May/2019,USD,5.16,1 966 105.00,10 142 902.56,104.84,104.93
03/May/2019,USD,5.26,1 966 105.00,10 340 872.03,106.89,106.99
02/May/2019,USD,5.22,1 966 105.00,10 259 966.47,106.05,106.16
01/May/2019,USD,5.24,1 966 105.00,10 296 626.38,106.43,106.54
30/Apr/2019,USD,5.26,1 986 144.00,10 439 881.41,106.83,106.94
29/Apr/2019,USD,5.25,1 986 144.00,10 429 929.73,106.72,106.84
26/Apr/2019,USD,5.25,1 986 144.00,10 419 032.98,106.61,106.73
25/Apr/2019,USD,5.22,1 986 144.00,10 373 481.44,106.15,106.28
24/Apr/2019,USD,5.23,2 046 259.00,10 700 213.72,106.27,106.42
23/Apr/2019,USD,5.24,2 046 259.00,10 723 624.02,106.50,106.65
18/Apr/2019,USD,5.21,2 046 259.00,10 654 168.26,105.82,105.94
17/Apr/2019,USD,5.21,2 046 259.00,10 656 599.99,105.84,105.95
16/Apr/2019,USD,5.21,2 046 259.00,10 664 780.29,105.92,106.03
15/Apr/2019,USD,5.21,2 046 259.00,10 654 655.33,105.82,105.92
12/Apr/2019,USD,5.20,2 046 259.00,10 643 796.41,105.71,105.80
11/Apr/2019,USD,5.17,2 046 259.00,10 583 985.50,105.12,105.19
10/Apr/2019,USD,5.18,2 046 259.00,10 589 390.36,105.17,105.23
09/Apr/2019,USD,5.16,1 996 259.00,10 301 631.97,104.88,104.94
08/Apr/2019,USD,5.18,1 996 259.00,10 346 003.75,105.33,105.39
05/Apr/2019,USD,5.17,2 096 449.00,10 848 996.22,105.17,105.23
04/Apr/2019,USD,5.16,2 096 449.00,10 814 080.25,104.83,104.88
03/Apr/2019,USD,5.16,2 096 449.00,10 815 265.06,104.84,104.89
02/Apr/2019,USD,5.13,2 096 449.00,10 752 594.03,104.24,104.27
01/Apr/2019,USD,5.13,2 096 449.00,10 750 454.86,104.22,104.23
31/Mar/2019,USD,5.07,--,--,--,--
29/Mar/2019,USD,5.07,2 096 449.00,10 625 850.62,103.01,103.02
28/Mar/2019,USD,5.04,2 096 449.00,10 559 924.97,102.37,102.40
